codigo_ibge,anomes_s,cadun_qtd_pessoas_cadastradas_i
110001,202312,12881
110002,202312,44621
110003,202312,2651
110004,202312,42964
110005,202312,7894
110006,202312,4933
110007,202312,3518
110008,202312,10341
110009,202312,14871
110010,202312,28481
110011,202312,24095
110012,202312,54250
110013,202312,20552
110014,202312,11184
110015,202312,18461
110018,202312,14167
110020,202312,260949
110025,202312,13466
110026,202312,1885
110028,202312,22982
110029,202312,4629
110030,202312,42242
110032,202312,12121
110033,202312,16458
110034,202312,8921
110037,202312,5215
110040,202312,9709
110045,202312,15171
110050,202312,5358
110060,202312,3235
110070,202312,5244
110080,202312,18154
110090,202312,1970
110092,202312,4794
110094,202312,9981
110100,202312,5778
110110,202312,5852
110120,202312,4447
110130,202312,7612
110140,202312,8270
110143,202312,4484
110145,202312,2812
110146,202312,1727
110147,202312,2343
110148,202312,3096
110149,202312,10452
110150,202312,7392
110155,202312,2906
110160,202312,5196
110170,202312,5995
110175,202312,7075
110180,202312,4091
120001,202312,11360
120005,202312,8715
120010,202312,18955
120013,202312,9141
120017,202312,9332
120020,202312,60983
120025,202312,10998
120030,202312,27779
120032,202312,8611
120033,202312,16213
120034,202312,11194
120035,202312,16336
120038,202312,10888
120039,202312,9666
120040,202312,195729
120042,202312,13034
120043,202312,6532
120045,202312,16313
120050,202312,36585
120060,202312,41045
120070,202312,12548
120080,202312,16318
130002,202312,13959
130006,202312,10078
130008,202312,9963
130010,202312,12966
130014,202312,12634
130020,202312,12216
130030,202312,41379
130040,202312,13958
130050,202312,29275
130060,202312,32798
130063,202312,23317
130068,202312,13507
130070,202312,23570
130080,202312,28108
130083,202312,10307
130090,202312,12545
130100,202312,25703
130110,202312,26386
130115,202312,17193
130120,202312,58192
130130,202312,19427
130140,202312,27628
130150,202312,14774
130160,202312,20773
130165,202312,13667
130170,202312,41677
130180,202312,15502
130185,202312,54192
130190,202312,76525
130195,202312,10195
130200,202312,9019
130210,202312,6906
130220,202312,9098
130230,202312,22636
130240,202312,40787
130250,202312,86445
130255,202312,16387
130260,202312,1130400
130270,202312,38208
130280,202312,15339
130290,202312,52909
130300,202312,17793
130310,202312,25308
130320,202312,12863
130330,202312,15786
130340,202312,80994
130350,202312,15255
130353,202312,23053
130356,202312,18988
130360,202312,10869
130370,202312,25445
130380,202312,40181
130390,202312,31807
130395,202312,8682
130400,202312,9766
130406,202312,46382
130410,202312,17251
130420,202312,57789
130423,202312,15750
130426,202312,12246
130430,202312,13936
130440,202312,17289
140002,202312,8435
140005,202312,11567
140010,202312,200578
140015,202312,15893
140017,202312,17252
140020,202312,17907
140023,202312,9291
140028,202312,6042
140030,202312,16678
140040,202312,13155
140045,202312,20533
140047,202312,20488
140050,202312,6088
140060,202312,6387
140070,202312,11947
150010,202312,136284
150013,202312,5648
150020,202312,49467
150030,202312,37490
150034,202312,11632
150040,202312,47997
150050,202312,26609
150060,202312,75651
150070,202312,31171
150080,202312,250551
150085,202312,29028
150090,202312,40646
150095,202312,20008
150100,202312,11772
150110,202312,19736
150120,202312,26974
150125,202312,2777
150130,202312,82066
150140,202312,747447
150145,202312,15213
150150,202312,51193
150157,202312,11137
150160,202312,10897
150170,202312,91831
150172,202312,16330
150175,202312,6366
150178,202312,34005
150180,202312,93237
150190,202312,24014
150195,202312,17602
150200,202312,18641
150210,202312,108168
150215,202312,39661
150220,202312,43182
150230,202312,43218
150240,202312,114080
150250,202312,18153
150260,202312,9984
150270,202312,29052
150275,202312,24892
150276,202312,7633
150277,202312,15752
150280,202312,30455
150285,202312,13055
150290,202312,32734
150293,202312,26765
150295,202312,22601
150300,202312,8674
150304,202312,14407
150307,202312,20072
150309,202312,20637
150310,202312,31396
150320,202312,28161
150330,202312,51768
150340,202312,8055
150345,202312,27825
150350,202312,26476
150360,202312,80873
150370,202312,37187
150375,202312,18457
150380,202312,28625
150390,202312,36223
150400,202312,25446
150405,202312,25713
150410,202312,6460
150420,202312,148756
150430,202312,25827
150440,202312,20278
150442,202312,79974
150445,202312,24127
150450,202312,24565
150460,202312,29936
150470,202312,62150
150475,202312,19306
150480,202312,48793
150490,202312,31453
150495,202312,18309
150497,202312,9495
150500,202312,9187
150503,202312,18593
150506,202312,43878
150510,202312,43130
150520,202312,31618
150530,202312,49397
150540,202312,14865
150543,202312,23419
150548,202312,35566
150549,202312,5866
150550,202312,68224
150553,202312,133086
150555,202312,6309
150560,202312,6241
150563,202312,9197
150565,202312,16340
150570,202312,23628
150580,202312,51388
150590,202312,30745
150600,202312,35086
150610,202312,9206
150611,202312,9666
150613,202312,47193
150616,202312,12172
150618,202312,23494
150619,202312,20965
150620,202312,28526
150630,202312,19062
150635,202312,16240
150640,202312,6821
150650,202312,37655
150655,202312,17319
150658,202312,14745
150660,202312,18355
150670,202312,25563
150680,202312,252629
150690,202312,7129
150700,202312,22416
150710,202312,13520
150715,202312,15877
150720,202312,26087
150730,202312,46640
150740,202312,12593
150745,202312,17505
150746,202312,5520
150747,202312,17044
150750,202312,12781
150760,202312,38280
150770,202312,26590
150775,202312,3591
150780,202312,17090
150790,202312,18633
150795,202312,55970
150796,202312,10537
150797,202312,14851
150800,202312,51746
150803,202312,25404
150805,202312,12671
150808,202312,22749
150810,202312,61471
150812,202312,19455
150815,202312,31964
150820,202312,39203
150830,202312,45637
150835,202312,12460
150840,202312,27880
160005,202312,3859
160010,202312,6802
160015,202312,10694
160020,202312,8417
160021,202312,5173
160023,202312,5386
160025,202312,6354
160027,202312,30105
160030,202312,276315
160040,202312,22775
160050,202312,21425
160053,202312,14855
160055,202312,4262
160060,202312,84331
160070,202312,12315
160080,202312,10529
170025,202312,1942
170030,202312,3804
170035,202312,4118
170040,202312,5476
170070,202312,5112
170100,202312,7576
170105,202312,2031
170110,202312,3506
170130,202312,4390
170190,202312,4483
170200,202312,5281
170210,202312,85580
170215,202312,3627
170220,202312,19742
170230,202312,3946
170240,202312,8366
170255,202312,11954
170270,202312,2333
170290,202312,9505
170300,202312,5869
170305,202312,2032
170307,202312,3724
170310,202312,4413
170320,202312,3062
170330,202312,3363
170360,202312,1658
170370,202312,3674
170380,202312,5883
170382,202312,1542
170384,202312,6385
170386,202312,2974
170388,202312,2053
170389,202312,2889
170390,202312,4325
170410,202312,1643
170460,202312,1274
170510,202312,2698
170550,202312,20147
170555,202312,3923
170560,202312,2940
170600,202312,4104
170610,202312,4593
170625,202312,1288
170650,202312,4567
170700,202312,11550
170710,202312,4644
170720,202312,4966
170730,202312,3209
170740,202312,7186
170755,202312,2430
170765,202312,3194
170770,202312,5722
170820,202312,12346
170825,202312,2914
170830,202312,3861
170900,202312,10897
170930,202312,12267
170950,202312,38046
170980,202312,1496
171050,202312,5588
171070,202312,4077
171090,202312,2836
171110,202312,1699
171150,202312,2545
171180,202312,2037
171190,202312,7279
171195,202312,2812
171200,202312,1888
171215,202312,1254
171240,202312,2646
171245,202312,2393
171250,202312,2924
171270,202312,1855
171280,202312,2783
171320,202312,12213
171330,202312,9055
171360,202312,4741
171370,202312,1956
171380,202312,4079
171395,202312,2796
171420,202312,5942
171430,202312,3456
171488,202312,7628
171500,202312,2446
171510,202312,2884
171515,202312,1306
171525,202312,2090
171550,202312,1068
171570,202312,3520
171575,202312,4278
171610,202312,19143
171620,202312,8206
171630,202312,3227
171650,202312,7571
171660,202312,6356
171665,202312,3915
171670,202312,5442
171700,202312,3543
171720,202312,2051
171750,202312,4571
171780,202312,3476
171790,202312,4779
171800,202312,2088
171820,202312,37813
171830,202312,5410
171840,202312,2037
171845,202312,1947
171850,202312,3273
171855,202312,3318
171865,202312,1501
171870,202312,2437
171875,202312,4292
171880,202312,4284
171884,202312,3220
171886,202312,4448
171888,202312,1786
171889,202312,1472
171890,202312,4156
171900,202312,2138
172000,202312,1894
172010,202312,4404
172015,202312,1387
172020,202312,8914
172025,202312,2135
172030,202312,4008
172049,202312,3312
172065,202312,4133
172080,202312,7365
172085,202312,1272
172090,202312,10726
172093,202312,1500
172097,202312,1842
172100,202312,152334
172110,202312,6557
172120,202312,16512
172125,202312,1241
172130,202312,1551
172208,202312,6677
172210,202312,7242
210005,202312,62763
210010,202312,6806
210015,202312,10189
210020,202312,18605
210030,202312,16529
210040,202312,5183
210043,202312,17617
210047,202312,22199
210050,202312,8147
210055,202312,6646
210060,202312,29240
210070,202312,18723
210080,202312,14541
210083,202312,16491
210087,202312,8092
210090,202312,29986
210095,202312,22865
210100,202312,20995
210110,202312,9198
210120,202312,76006
210125,202312,13125
210130,202312,11392
210135,202312,4728
210140,202312,62755
210150,202312,12100
210160,202312,60923
210170,202312,54975
210173,202312,8399
210177,202312,9559
210180,202312,4121
210190,202312,15212
210193,202312,4042
210197,202312,6578
210200,202312,26637
210203,202312,21970
210207,202312,10154
210210,202312,24715
210215,202312,8149
210220,202312,23815
210230,202312,17336
210232,202312,39892
210235,202312,10675
210237,202312,10932
210240,202312,8134
210250,202312,17618
210255,202312,8596
210260,202312,16728
210270,202312,13705
210275,202312,9040
210280,202312,17181
210290,202312,21699
210300,202312,97500
210310,202312,8021
210312,202312,7175
210315,202312,9822
210317,202312,14300
210320,202312,67696
210325,202312,10860
210330,202312,78244
210340,202312,33554
210350,202312,28249
210355,202312,13244
210360,202312,42740
210370,202312,27377
210375,202312,9883
210380,202312,15431
210390,202312,9852
210400,202312,13801
210405,202312,20933
210407,202312,6944
210408,202312,10576
210409,202312,13862
210410,202312,11332
210420,202312,13276
210430,202312,7126
210440,202312,12262
210450,202312,7118
210455,202312,13707
210460,202312,10358
210462,202312,5474
210465,202312,8121
210467,202312,19001
210470,202312,5356
210480,202312,55088
210490,202312,8687
210500,202312,25093
210510,202312,20842
210515,202312,11606
210520,202312,8200
210530,202312,156699
210535,202312,12433
210540,202312,47219
210542,202312,16716
210545,202312,7065
210547,202312,14078
210550,202312,19283
210560,202312,12480
210565,202312,4619
210570,202312,32437
210580,202312,7954
210590,202312,12925
210592,202312,8260
210594,202312,7588
210596,202312,10498
210598,202312,5854
210600,202312,9015
210610,202312,8634
210620,202312,7789
210630,202312,10658
210632,202312,16840
